
Date,City,Temperature (°C),Humidity(%),Air Quality Index(AQI) Value, AQI Category,Common Health Issues,Recommendations
2026-02-13,Guwahati,23,59,248, Poor,"Asthma, cough, eye irritation","Limit outdoor exposure, use air purifiers"
2026-01-13,Imphal,19,60,143, Moderate/Poor,"Cold-related illness, mild respiratory issues","Warm clothing, avoid peak pollution times"
2026-02-13,Shillong,19,70,65, Moderate ,"Respiratory irritation, cold-related illness","Warm clothing, monitor weather changes"
2026-02-13,Agartala,17,65,142, Moderate/Poor ,"Mild respiratory issues","Ventilated indoor spaces, avoid dusty areas"
2026-02-13,Aizawl,17,28,140, Moderate ,"Mild respiratory irritation","Mask outdoors, indoor humidifiers"
2026-02-14,Mumbai,28,70,288,Unhealthy,"Cough and chest irritation","Avoid long outdoor exposure and wear mask"
2026-02-14,Delhi,25,50,255,Poor,"Throat irritation and coughing","Use N95 mask and limit outdoor activity"
2026-02-14,Bangalore,26,65,120,Moderate,"Mild allergy and sneezing","Keep indoor ventilation"
2026-02-14,Chennai,32,70,150,Moderate,"Dry throat and mild cough","Drink water frequently"
2026-02-14,Hyderabad,30,60,140,Moderate,"Mild respiratory irritation","Wear mask in traffic areas"
2026-02-14,Kolkata,28,72,160,Moderate,"Nasal irritation","Use indoor air purifier"
2026-02-14,Pune,27,58,130,Moderate,"Mild dust allergy","Keep indoor air clean"
2026-02-14,Ahmedabad,34,50,160,Moderate,"Eye irritation and mild cough","Avoid afternoon heat exposure"
2026-02-14,Jaipur,30,45,190,Poor,"Chest tightness","Wear N95 mask outdoors"
2026-02-14,Lucknow,29,55,180,Poor,"Cough and wheezing","Use indoor air purifier"
2026-02-14,Patna,30,60,200,Poor,"Respiratory discomfort","Limit outdoor physical activity"
2026-02-14,Bhubaneswar,29,75,170,Moderate,"Chest irritation","Wear mask outdoors"
2026-02-14,Nagpur,32,55,150,Moderate,"Mild breathing issues","Avoid dusty environments"
2026-02-14,Indore,30,60,145,Moderate,"Eye irritation","Wear mask in traffic zones"
2026-02-14,Srinagar,12,55,90,Satisfactory,"Mild cold symptoms","Wear warm clothes"
2026-02-14,Guwahati,28,80,160,Moderate,"Sneezing and congestion","Reduce outdoor exposure"
2026-02-14,Imphal,25,85,120,Moderate,"Allergy symptoms","Maintain indoor ventilation"
2026-02-14,Shillong,20,90,100,Satisfactory,"Mild sinus irritation","Keep indoor air dry"
2026-02-14,Agartala,26,85,130,Moderate,"Mild cough","Avoid outdoor dust"
2026-02-14,Aizawl,22,88,110,Moderate,"Minor respiratory discomfort","Monitor indoor air quality"
2026-02-15,Mumbai,29,68,295,Unhealthy,"Persistent cough and breathing discomfort","Avoid outdoor exposure and use protective mask"
2026-02-15,Delhi,26,48,260,Poor,"Throat irritation and mild chest tightness","Wear N95 mask and avoid outdoor exercise"
2026-02-15,Bangalore,27,63,125,Moderate,"Mild sneezing and allergy symptoms","Maintain indoor ventilation"
2026-02-15,Chennai,33,68,155,Moderate,"Dry throat and fatigue","Stay hydrated and limit sun exposure"
2026-02-15,Hyderabad,31,58,150,Moderate,"Mild respiratory irritation","Wear mask in high traffic areas"
2026-02-15,Kolkata,29,70,170,Moderate,"Cough and nasal irritation","Use indoor air purifier"
2026-02-15,Pune,28,55,135,Moderate,"Dust allergy and throat discomfort","Avoid dusty outdoor areas"
2026-02-15,Ahmedabad,35,48,170,Moderate,"Eye irritation and dry cough","Avoid afternoon outdoor activity"
2026-02-15,Jaipur,31,42,200,Poor,"Chest discomfort and coughing","Use N95 mask outdoors"
2026-02-15,Lucknow,30,52,190,Poor,"Wheezing and throat irritation","Limit outdoor exertion"
2026-02-15,Patna,31,58,210,Poor,"Respiratory discomfort and coughing","Stay indoors during peak pollution"
2026-02-15,Bhubaneswar,30,73,180,Moderate,"Chest irritation and congestion","Wear mask outdoors"
2026-02-15,Nagpur,33,53,160,Moderate,"Mild breathing difficulty","Avoid dusty environments"
2026-02-15,Indore,31,57,150,Moderate,"Eye irritation","Use mask in traffic areas"
2026-02-15,Srinagar,13,53,95,Satisfactory,"Mild cold symptoms","Wear warm clothing"
2026-02-15,Guwahati,29,82,170,Moderate,"Sneezing and congestion","Reduce outdoor exposure"
2026-02-15,Imphal,26,84,130,Moderate,"Allergy symptoms and mild cough","Maintain indoor ventilation"
2026-02-15,Shillong,21,88,105,Satisfactory,"Mild sinus irritation","Keep indoor spaces dry"
2026-02-15,Agartala,27,83,140,Moderate,"Mild cough and throat irritation","Avoid outdoor dust exposure"
2026-02-15,Aizawl,23,86,115,Moderate,"Minor respiratory discomfort","Monitor indoor air quality"
2026-02-16,Mumbai,30,67,300,Very Poor,"Breathing discomfort and persistent cough","Avoid outdoor exposure and wear N95 mask"
2026-02-16,Delhi,27,47,270,Poor,"Throat irritation and chest tightness","Limit outdoor activity and use protective mask"
2026-02-16,Bangalore,27,62,130,Moderate,"Sneezing and mild allergy","Maintain good indoor ventilation"
2026-02-16,Chennai,33,66,160,Moderate,"Dry throat and fatigue","Stay hydrated and avoid afternoon sun"
2026-02-16,Hyderabad,32,57,155,Moderate,"Respiratory irritation","Wear mask in polluted areas"
2026-02-16,Kolkata,30,69,180,Moderate,"Cough and nasal congestion","Use indoor air purifier"
2026-02-16,Pune,28,54,140,Moderate,"Dust allergy and throat discomfort","Avoid dusty outdoor places"
2026-02-16,Ahmedabad,36,46,180,Moderate,"Eye irritation and coughing","Reduce outdoor exposure in afternoon"
2026-02-16,Jaipur,32,40,210,Poor,"Chest discomfort and wheezing","Wear N95 mask outdoors"
2026-02-16,Lucknow,31,50,200,Poor,"Coughing and throat irritation","Limit outdoor physical activity"
2026-02-16,Patna,32,57,220,Poor,"Respiratory distress and coughing","Stay indoors during peak pollution"
2026-02-16,Bhubaneswar,30,72,185,Moderate,"Chest irritation and congestion","Use mask outdoors"
2026-02-16,Nagpur,34,52,165,Moderate,"Mild breathing difficulty","Avoid dusty environments"
2026-02-16,Indore,32,55,155,Moderate,"Eye irritation","Wear mask in traffic zones"
2026-02-16,Srinagar,14,52,100,Satisfactory,"Mild cold and throat discomfort","Wear warm clothing"
2026-02-16,Guwahati,29,81,175,Moderate,"Sneezing and nasal congestion","Reduce outdoor exposure"
2026-02-16,Imphal,26,83,135,Moderate,"Allergy symptoms and cough","Maintain indoor ventilation"
2026-02-16,Shillong,21,87,110,Moderate,"Sinus irritation","Keep indoor air dry"
2026-02-16,Agartala,27,82,145,Moderate,"Mild cough and throat irritation","Avoid dusty outdoor air"
2026-02-16,Aizawl,23,85,120,Moderate,"Minor respiratory discomfort","Monitor indoor air quality"
2026-02-17,Mumbai,30,70,285,Unhealthy,"Breathing discomfort and persistent cough","Avoid outdoor exposure and wear protective mask"
2026-02-17,Delhi,27,46,255,Poor,"Throat irritation and mild chest tightness","Use N95 mask and avoid outdoor exercise"
2026-02-17,Bangalore,28,60,120,Moderate,"Sneezing and mild allergy symptoms","Maintain good indoor ventilation"
2026-02-17,Chennai,33,66,150,Moderate,"Dry throat and fatigue","Stay hydrated and reduce sun exposure"
2026-02-17,Hyderabad,32,55,145,Moderate,"Mild respiratory irritation","Wear mask in high traffic areas"
2026-02-17,Kolkata,30,72,165,Moderate,"Cough and nasal irritation","Use indoor air purifier if available"
2026-02-17,Pune,29,54,130,Moderate,"Dust allergy and throat discomfort","Avoid dusty outdoor locations"
2026-02-17,Ahmedabad,36,45,175,Moderate,"Eye irritation and dry cough","Limit outdoor activity during afternoon"
2026-02-17,Jaipur,32,40,195,Poor,"Chest discomfort and coughing","Wear N95 mask outdoors"
2026-02-17,Lucknow,31,50,185,Poor,"Wheezing and throat irritation","Reduce prolonged outdoor exposure"
2026-02-17,Patna,32,56,205,Poor,"Respiratory discomfort and coughing","Stay indoors during peak pollution hours"
2026-02-17,Bhubaneswar,31,75,175,Moderate,"Chest irritation and congestion","Wear mask in polluted areas"
2026-02-17,Nagpur,34,50,155,Moderate,"Mild breathing difficulty","Avoid dusty environments"
2026-02-17,Indore,32,55,145,Moderate,"Eye irritation and mild cough","Use mask in traffic zones"
2026-02-17,Srinagar,14,52,90,Satisfactory,"Cold sensitivity and mild cough","Wear warm clothing outdoors"
2026-02-17,Guwahati,30,80,165,Moderate,"Sneezing and nasal congestion","Limit outdoor exposure in polluted areas"
2026-02-17,Imphal,27,82,125,Moderate,"Allergy symptoms and mild cough","Ensure proper indoor ventilation"
2026-02-17,Shillong,22,86,100,Satisfactory,"Mild sinus irritation","Keep indoor spaces dry and clean"
2026-02-17,Agartala,28,81,135,Moderate,"Mild throat irritation and cough","Avoid exposure to dust and smoke"
2026-02-17,Aizawl,24,85,110,Moderate,"Minor respiratory discomfort","Monitor indoor air quality"
2026-02-18,Mumbai,31,69,290,Unhealthy,"Breathing discomfort and persistent cough","Avoid outdoor exposure and use protective mask"
2026-02-18,Delhi,28,46,265,Poor,"Throat irritation and chest tightness","Use N95 mask and limit outdoor activity"
2026-02-18,Bangalore,28,60,125,Moderate,"Mild allergy and sneezing","Maintain indoor ventilation"
2026-02-18,Chennai,34,66,155,Moderate,"Dry throat and fatigue","Stay hydrated and avoid afternoon sun"
2026-02-18,Hyderabad,32,55,150,Moderate,"Mild respiratory irritation","Wear mask in high traffic areas"
2026-02-18,Kolkata,31,72,175,Moderate,"Cough and nasal irritation","Use indoor air purifier"
2026-02-18,Pune,29,54,135,Moderate,"Dust allergy and throat discomfort","Avoid dusty outdoor locations"
2026-02-18,Ahmedabad,36,45,180,Moderate,"Eye irritation and dry cough","Limit outdoor activity in afternoon"
2026-02-18,Jaipur,33,40,205,Poor,"Chest discomfort and wheezing","Wear N95 mask outdoors"
2026-02-18,Lucknow,32,50,195,Poor,"Cough and throat irritation","Reduce prolonged outdoor exposure"
2026-02-18,Patna,33,56,220,Poor,"Respiratory discomfort and coughing","Stay indoors during peak pollution"
2026-02-18,Bhubaneswar,31,74,180,Moderate,"Chest irritation and congestion","Wear mask in polluted areas"
2026-02-18,Nagpur,35,50,160,Moderate,"Mild breathing difficulty","Avoid dusty environments"
2026-02-18,Indore,33,55,150,Moderate,"Eye irritation","Use mask in traffic zones"
2026-02-18,Srinagar,14,52,90,Satisfactory,"Mild cold and throat discomfort","Wear warm clothing"
2026-02-18,Guwahati,30,80,170,Moderate,"Sneezing and nasal congestion","Limit outdoor exposure"
2026-02-18,Imphal,27,82,130,Moderate,"Allergy symptoms and mild cough","Maintain indoor ventilation"
2026-02-18,Shillong,22,86,105,Satisfactory,"Mild sinus irritation","Keep indoor spaces dry"
2026-02-18,Agartala,28,81,140,Moderate,"Mild cough and throat irritation","Avoid dusty outdoor air"
2026-02-18,Aizawl,24,85,115,Moderate,"Minor respiratory discomfort","Monitor indoor air quality"
2026-02-19,Mumbai,32,72,305,Very Poor,"Shortness of breath and headache","Use air purifier and avoid morning outdoor exposure"
2026-02-19,Delhi,29,44,285,Poor,"Eye irritation and dry cough","Wear mask and hydrate frequently"
2026-02-19,Bangalore,30,58,118,Moderate,"Mild sinus pressure","Keep windows open during low traffic hours"
2026-02-19,Chennai,35,68,170,Moderate,"Heat fatigue","Avoid direct sun and increase water intake"
2026-02-19,Hyderabad,34,53,165,Moderate,"Respiratory discomfort","Limit travel in congested roads"
2026-02-19,Kolkata,32,75,190,Moderate,"Cough and nasal blockage","Use steam inhalation"
2026-02-19,Pune,30,52,145,Moderate,"Allergic rhinitis","Clean indoor surfaces regularly"
2026-02-19,Ahmedabad,37,43,210,Poor,"Eye burning sensation","Reduce outdoor exposure"
2026-02-19,Jaipur,35,38,225,Poor,"Breathing difficulty","Wear N95 mask outdoors"
2026-02-19,Lucknow,33,48,215,Poor,"Throat irritation","Drink warm fluids"
2026-02-19,Patna,34,54,240,Poor,"Respiratory strain","Stay indoors during peak hours"
2026-02-19,Bhubaneswar,32,76,175,Moderate,"Chest congestion","Wear mask in crowded areas"
2026-02-19,Nagpur,36,48,170,Moderate,"Dry cough","Maintain hydration"
2026-02-19,Indore,34,53,160,Moderate,"Eye irritation","Use sunglasses outdoors"
2026-02-19,Srinagar,16,50,85,Satisfactory,"Cold sensitivity","Wear warm clothes"
2026-02-19,Guwahati,31,82,165,Moderate,"Sinus congestion","Avoid exhaust areas"
2026-02-19,Imphal,28,84,120,Moderate,"Allergic cough","Maintain indoor cleanliness"
2026-02-19,Shillong,23,88,98,Satisfactory,"Mild throat irritation","Keep rooms ventilated"
2026-02-19,Agartala,29,83,150,Moderate,"Dry cough","Avoid dusty areas"
2026-02-19,Aizawl,25,87,110,Moderate,"Minor breathing sensitivity","Monitor indoor air quality"
2026-02-20,Mumbai,31,70,275,Poor,"Mild breathlessness","Avoid strenuous outdoor activity"
2026-02-20,Delhi,28,47,240,Poor,"Throat dryness","Use steam inhalation"
2026-02-20,Bangalore,29,60,105,Satisfactory,"Occasional sneezing","Keep indoor air fresh"
2026-02-20,Chennai,34,65,155,Moderate,"Heat exhaustion","Stay hydrated"
2026-02-20,Hyderabad,33,55,148,Moderate,"Chest tightness","Avoid polluted roads"
2026-02-20,Kolkata,31,73,165,Moderate,"Cough","Use protective mask"
2026-02-20,Pune,29,54,130,Moderate,"Dust allergy","Clean home regularly"
2026-02-20,Ahmedabad,36,45,195,Moderate,"Eye irritation","Limit sun exposure"
2026-02-20,Jaipur,34,42,205,Poor,"Breathing discomfort","Use N95 mask"
2026-02-20,Lucknow,32,52,190,Moderate,"Throat irritation","Drink warm water"
2026-02-20,Patna,33,56,210,Poor,"Respiratory strain","Stay indoors"
2026-02-20,Bhubaneswar,31,74,160,Moderate,"Chest tightness","Avoid crowded areas"
2026-02-20,Nagpur,35,50,150,Moderate,"Dry throat","Stay hydrated"
2026-02-20,Indore,33,55,145,Moderate,"Eye irritation","Use sunglasses"
2026-02-20,Srinagar,15,53,78,Satisfactory,"Cold discomfort","Wear warm clothes"
2026-02-20,Guwahati,30,80,150,Moderate,"Nasal blockage","Avoid dusty zones"
2026-02-20,Imphal,27,82,115,Moderate,"Allergic symptoms","Keep indoor air clean"
2026-02-20,Shillong,22,85,92,Satisfactory,"Mild sinus pressure","Avoid damp rooms"
2026-02-20,Agartala,28,81,138,Moderate,"Throat irritation","Reduce smoke exposure"
2026-02-20,Aizawl,24,86,105,Satisfactory,"Minor discomfort","Monitor air quality"
2026-02-21,Mumbai,31,73,260,Poor,"Morning breathlessness","Avoid outdoor jogging"
2026-02-21,Delhi,27,50,210,Poor,"Dry cough","Use air purifier"
2026-02-21,Bangalore,29,61,98,Satisfactory,"Mild irritation","Keep ventilation open"
2026-02-21,Chennai,33,70,140,Moderate,"Heat fatigue","Avoid direct sun"
2026-02-21,Hyderabad,32,57,135,Moderate,"Mild chest discomfort","Limit traffic exposure"
2026-02-21,Kolkata,30,76,150,Moderate,"Cough","Use mask"
2026-02-21,Pune,28,58,120,Moderate,"Dust allergy","Clean surfaces"
2026-02-21,Ahmedabad,35,48,175,Moderate,"Eye dryness","Reduce outdoor time"
2026-02-21,Jaipur,33,45,190,Moderate,"Breathing discomfort","Avoid evening pollution"
2026-02-21,Lucknow,31,55,170,Moderate,"Throat irritation","Hydrate well"
2026-02-21,Patna,32,60,195,Poor,"Respiratory strain","Stay indoors"
2026-02-21,Bhubaneswar,30,78,145,Moderate,"Chest congestion","Use protective mask"
2026-02-21,Nagpur,34,52,140,Moderate,"Dry cough","Maintain hydration"
2026-02-21,Indore,32,57,130,Moderate,"Eye irritation","Use sunglasses"
2026-02-21,Srinagar,14,55,70,Satisfactory,"Cold sensitivity","Wear warm clothes"
2026-02-21,Guwahati,29,83,140,Moderate,"Sinus congestion","Avoid traffic areas"
2026-02-21,Imphal,26,85,105,Satisfactory,"Allergic cough","Keep indoor air clean"
2026-02-21,Shillong,21,87,85,Satisfactory,"Mild throat irritation","Ventilate rooms"
2026-02-21,Agartala,27,82,130,Moderate,"Dry cough","Avoid dusty areas"
2026-02-21,Aizawl,23,88,95,Satisfactory,"Minor discomfort","Monitor indoor air"
2026-02-22,Mumbai,30,75,240,Poor,"Breathing discomfort","Avoid outdoor exposure"
2026-02-22,Delhi,26,55,180,Moderate,"Throat dryness","Hydrate regularly"
2026-02-22,Bangalore,28,63,92,Satisfactory,"Mild sneezing","Ventilate home"
2026-02-22,Chennai,32,72,130,Moderate,"Heat fatigue","Stay hydrated"
2026-02-22,Hyderabad,31,60,125,Moderate,"Chest tightness","Avoid traffic zones"
2026-02-22,Kolkata,29,78,140,Moderate,"Cough","Use mask"
2026-02-22,Pune,27,60,110,Moderate,"Dust allergy","Clean indoor surfaces"
2026-02-22,Ahmedabad,34,50,165,Moderate,"Eye irritation","Limit sun exposure"
2026-02-22,Jaipur,32,48,175,Moderate,"Breathing discomfort","Use mask"
2026-02-22,Lucknow,30,58,160,Moderate,"Throat irritation","Drink warm fluids"
2026-02-22,Patna,31,62,180,Moderate,"Respiratory strain","Stay indoors"
2026-02-22,Bhubaneswar,29,80,135,Moderate,"Chest irritation","Avoid crowds"
2026-02-22,Nagpur,33,55,130,Moderate,"Dry throat","Hydrate"
2026-02-22,Indore,31,60,120,Moderate,"Eye irritation","Use sunglasses"
2026-02-22,Srinagar,13,58,65,Satisfactory,"Cold discomfort","Wear warm clothes"
2026-02-22,Guwahati,28,85,130,Moderate,"Nasal blockage","Avoid polluted areas"
2026-02-22,Imphal,25,87,98,Satisfactory,"Allergic symptoms","Keep rooms clean"
2026-02-22,Shillong,20,89,78,Satisfactory,"Mild sinus pressure","Ventilate indoors"
2026-02-22,Agartala,26,84,120,Moderate,"Throat irritation","Avoid smoke"
2026-02-22,Aizawl,22,90,90,Satisfactory,"Minor discomfort","Monitor air quality"
2026-02-23,Mumbai,29,78,220,Poor,"Morning breathlessness","Avoid outdoor activity"
2026-02-23,Delhi,25,60,160,Moderate,"Dry cough","Use humidifier"
2026-02-23,Bangalore,27,65,85,Satisfactory,"Mild sneezing","Ventilate home"
2026-02-23,Chennai,31,74,120,Moderate,"Heat fatigue","Stay hydrated"
2026-02-23,Hyderabad,30,62,115,Moderate,"Chest irritation","Avoid dust"
2026-02-23,Kolkata,28,80,130,Moderate,"Cough","Use mask"
2026-02-23,Pune,26,62,100,Satisfactory,"Minor allergy","Clean surfaces"
2026-02-23,Ahmedabad,33,52,150,Moderate,"Eye irritation","Limit sun exposure"
2026-02-23,Jaipur,31,50,160,Moderate,"Breathing discomfort","Use mask"
2026-02-23,Lucknow,29,60,145,Moderate,"Throat irritation","Drink warm fluids"
2026-02-23,Patna,30,65,165,Moderate,"Respiratory strain","Stay indoors"
2026-02-23,Bhubaneswar,28,82,125,Moderate,"Chest congestion","Use mask"
2026-02-23,Nagpur,32,58,120,Moderate,"Dry cough","Hydrate"
2026-02-23,Indore,30,62,110,Moderate,"Eye irritation","Use sunglasses"
2026-02-23,Srinagar,12,60,60,Satisfactory,"Cold sensitivity","Wear warm clothes"
2026-02-23,Guwahati,27,87,120,Moderate,"Allergic symptoms","Ventilate rooms"
2026-02-23,Imphal,24,89,92,Satisfactory,"Mild cough","Keep air clean"
2026-02-23,Shillong,19,91,70,Satisfactory,"Sinus pressure","Avoid damp rooms"
2026-02-23,Agartala,25,86,110,Moderate,"Throat irritation","Avoid dust"
2026-02-23,Aizawl,21,92,85,Satisfactory,"Minor discomfort","Monitor air"
2026-02-24,Mumbai,30,76,250,Poor,"Shortness of breath and chest heaviness","Avoid morning walks and use indoor air purifier"
2026-02-24,Delhi,27,58,200,Moderate,"Dry throat and nasal irritation","Gargle with warm salt water"
2026-02-24,Bangalore,28,66,92,Satisfactory,"Mild sneezing","Keep windows open during non-peak hours"
2026-02-24,Chennai,32,72,135,Moderate,"Heat fatigue","Stay hydrated and wear light clothing"
2026-02-24,Hyderabad,31,64,128,Moderate,"Mild respiratory irritation","Avoid dusty roads"
2026-02-24,Kolkata,29,80,150,Moderate,"Cough and congestion","Use protective mask"
2026-02-24,Pune,27,62,115,Moderate,"Dust allergy symptoms","Clean indoor surfaces"
2026-02-24,Ahmedabad,34,55,175,Moderate,"Eye irritation","Limit outdoor exposure"
2026-02-24,Jaipur,32,52,185,Moderate,"Breathing discomfort","Use mask outdoors"
2026-02-24,Lucknow,30,60,170,Moderate,"Throat irritation","Drink warm fluids"
2026-02-24,Patna,31,66,195,Poor,"Respiratory strain","Stay indoors"
2026-02-24,Bhubaneswar,29,82,135,Moderate,"Chest tightness","Avoid high traffic areas"
2026-02-24,Nagpur,33,60,130,Moderate,"Dry cough","Maintain hydration"
2026-02-24,Indore,31,64,120,Moderate,"Eye strain","Use sunglasses outdoors"
2026-02-24,Srinagar,13,62,70,Satisfactory,"Cold sensitivity","Wear warm layers"
2026-02-24,Guwahati,28,86,130,Moderate,"Nasal congestion","Avoid polluted zones"
2026-02-24,Imphal,25,88,100,Satisfactory,"Mild allergic reaction","Keep rooms ventilated"
2026-02-24,Shillong,20,90,80,Satisfactory,"Sinus pressure","Avoid damp indoor areas"
2026-02-24,Agartala,26,85,120,Moderate,"Throat irritation","Avoid smoke exposure"
2026-02-24,Aizawl,22,92,90,Satisfactory,"Minor discomfort","Monitor air quality"
2026-02-25,Mumbai,31,74,260,Poor,"Morning breathlessness","Avoid outdoor activity and use mask"
2026-02-25,Delhi,28,56,210,Moderate,"Dry cough and eye irritation","Use air purifier indoors"
2026-02-25,Bangalore,29,64,98,Satisfactory,"Mild allergy","Ventilate home"
2026-02-25,Chennai,33,70,145,Moderate,"Heat exhaustion","Stay hydrated"
2026-02-25,Hyderabad,32,62,130,Moderate,"Chest discomfort","Avoid traffic congestion"
2026-02-25,Kolkata,30,78,155,Moderate,"Cough and nasal irritation","Use mask"
2026-02-25,Pune,28,60,120,Moderate,"Dust allergy","Clean surroundings"
2026-02-25,Ahmedabad,35,54,180,Moderate,"Eye redness","Limit outdoor exposure"
2026-02-25,Jaipur,33,50,195,Poor,"Breathing discomfort","Use N95 mask"
2026-02-25,Lucknow,31,58,175,Moderate,"Throat irritation","Hydrate regularly"
2026-02-25,Patna,32,64,205,Poor,"Respiratory strain","Stay indoors"
2026-02-25,Bhubaneswar,30,80,145,Moderate,"Chest congestion","Avoid polluted areas"
2026-02-25,Nagpur,34,58,140,Moderate,"Dry cough","Maintain hydration"
2026-02-25,Indore,32,62,130,Moderate,"Eye irritation","Use sunglasses"
2026-02-25,Srinagar,14,60,75,Satisfactory,"Cold discomfort","Wear warm clothes"
2026-02-25,Guwahati,29,86,135,Moderate,"Nasal blockage","Avoid exhaust zones"
2026-02-25,Imphal,26,88,105,Satisfactory,"Allergic symptoms","Keep rooms clean"
2026-02-25,Shillong,21,90,85,Satisfactory,"Mild sinus pressure","Ventilate indoors"
2026-02-25,Agartala,27,85,125,Moderate,"Throat irritation","Avoid smoke"
2026-02-25,Aizawl,23,92,95,Satisfactory,"Minor discomfort","Monitor indoor air"
2026-02-26,Mumbai,30,76,240,Poor,"Shortness of breath","Avoid outdoor exposure"
2026-02-26,Delhi,27,58,195,Moderate,"Dry throat","Hydrate and gargle"
2026-02-26,Bangalore,28,65,90,Satisfactory,"Mild sneezing","Ventilate home"
2026-02-26,Chennai,32,72,130,Moderate,"Heat fatigue","Stay hydrated"
2026-02-26,Hyderabad,31,63,120,Moderate,"Respiratory irritation","Avoid dusty roads"
2026-02-26,Kolkata,29,80,145,Moderate,"Cough","Use mask"
2026-02-26,Pune,27,62,115,Moderate,"Dust allergy","Clean surfaces"
2026-02-26,Ahmedabad,34,56,170,Moderate,"Eye irritation","Limit sun exposure"
2026-02-26,Jaipur,32,52,185,Moderate,"Breathing discomfort","Use mask"
2026-02-26,Lucknow,30,60,165,Moderate,"Throat irritation","Drink warm fluids"
2026-02-26,Patna,31,66,195,Poor,"Respiratory strain","Stay indoors"
2026-02-26,Bhubaneswar,29,82,135,Moderate,"Chest tightness","Avoid crowds"
2026-02-26,Nagpur,33,60,125,Moderate,"Dry cough","Hydrate"
2026-02-26,Indore,31,64,115,Moderate,"Eye strain","Use sunglasses"
2026-02-26,Srinagar,13,62,68,Satisfactory,"Cold sensitivity","Wear warm clothes"
2026-02-26,Guwahati,28,86,130,Moderate,"Nasal irritation","Avoid pollution zones"
2026-02-26,Imphal,25,88,98,Satisfactory,"Mild cough","Keep indoor air clean"
2026-02-26,Shillong,20,90,78,Satisfactory,"Sinus pressure","Ventilate rooms"
2026-02-26,Agartala,26,85,118,Moderate,"Throat irritation","Avoid smoke"
2026-02-26,Aizawl,22,92,88,Satisfactory,"Minor discomfort","Monitor air quality"
2026-02-27,Mumbai,31,74,255,Poor,"Morning breathlessness","Use air purifier and avoid outdoor exercise"
2026-02-27,Delhi,28,57,210,Moderate,"Dry throat and irritation","Gargle with warm water"
2026-02-27,Bangalore,29,64,95,Satisfactory,"Mild allergy","Ventilate home"
2026-02-27,Chennai,33,71,140,Moderate,"Heat exhaustion","Stay hydrated"
2026-02-27,Hyderabad,32,62,128,Moderate,"Respiratory irritation","Avoid traffic congestion"
2026-02-27,Kolkata,30,79,155,Moderate,"Cough","Use protective mask"
2026-02-27,Pune,28,61,118,Moderate,"Dust allergy","Clean indoor surfaces"
2026-02-27,Ahmedabad,35,55,175,Moderate,"Eye irritation","Limit outdoor exposure"
2026-02-27,Jaipur,33,52,190,Moderate,"Breathing discomfort","Use mask outdoors"
2026-02-27,Lucknow,31,59,170,Moderate,"Throat irritation","Hydrate well"
2026-02-27,Patna,32,65,200,Poor,"Respiratory strain","Stay indoors"
2026-02-27,Bhubaneswar,30,81,145,Moderate,"Chest congestion","Avoid polluted areas"
2026-02-27,Nagpur,34,59,135,Moderate,"Dry cough","Maintain hydration"
2026-02-27,Indore,32,63,120,Moderate,"Eye irritation","Use sunglasses"
2026-02-27,Srinagar,14,60,72,Satisfactory,"Cold sensitivity","Wear warm clothes"
